actual_label,prediction
E,protein phosphatase 2a pp2a is a major intracellular protein phosphatase that regulates multiple aspects of cell growth and metabolism the ability of this widely distributed heterotrimeric enzyme to act on a diverse array of substrates is largely controlled by the nature of its regulatory b subunit only two gene families encoding endogenous b subunits have been cloned to date although the existence of several additional regulatory subunits is likely we have identified by two-hybrid interaction a new human gene family encoding pp2a b subunits this family denoted b56 contains three distinct genes one of which is differentially spliced b56 polypeptides co-immunoprecipitate with pp2a a and c subunits and with an okadaic acid-inhibitable heparin-stimulated phosphatase activity the three b56 family members are 70 identical to each other but share no obvious homology with previously identified b subunits these phosphatase regulators are differentially expressed with b56 alpha and b56 gamma highly expressed in heart and skeletal muscle and b56 beta highly expressed in brain the identification of this novel phosphatase regulator gene family will facilitate future studies on the control of protein dephosphorylation and the role of pp2a in cellular function
E,tie2 is a receptor-like tyrosine kinase expressed almost exclusively in endothelial cells and early hemopoietic cells and required for the normal development of vascular structures during embryogenesis we report the identification of a secreted ligand for tie2 termed angiopoietin-1 using a novel expression cloning technique that involves intracellular trapping and detection of the ligand in cos cells the structure of angiopoietin-1 differs from that of known angiogenic factors or other ligands for receptor tyrosine kinases although angiopoietin-1 binds and induces the tyrosine phosphorylation of tie2 it does not directly promote the growth of cultured endothelial cells however its expression in close proximity with developing blood vessels implicates angiopoietin-1 in endothelial developmental processes
E,the liver regulates the supply of amino acids required for protein synthesis and intermediary metabolism between feeding and fasting in mammals the flux of amino acids between the liver and other tissues is determined in part by the activity of specific carrier proteins we have identified a carrier of the cationic amino acids arginine lysine and ornithine in mouse liver that is closely related to a previously identified transporter with the same substrate specificity expressed in nonhepatic tissues uptake studies were performed in xenopus oocytes injected with crna encoding these proteins the comparison of the two transporters in these studies demonstrated that unlike the widely-expressed transporter arginine uptake mediated by the liver carrier is significant only at substrate concentrations that exceed systemic plasma levels and is less dependent on the intracellular concentration of cationic amino acids these properties enable hepatocytes expressing this carrier to remove excess cationic amino acids from the blood without interfering with their uptake by nonhepatic tissues that express the related transporter
E,four new members of the fibroblast growth factor fgf family referred to as fibroblast growth factor homologous factors fhfs have been identified by a combination of random cdna sequencing data base searches and degenerate pcr pairwise comparisons between the four fhfs show between 58 and 71 amino acid sequence identity but each fhf shows less than 30 identity when compared with other fgfs like fgf-1 acidic fgf and fgf-2 basic fgf the fhfs lack a classical signal sequence and contain clusters of basic residues that can act as nuclear localization signals in transiently transfected 293 cells fhf-1 accumulates in the nucleus and is not secreted each fhf is expressed in the developing and adult nervous systems suggesting a role for this branch of the fgf family in nervous system development and function
E,we have cloned the cdna of the heme-regulated eif-2 alpha kinase hri of rabbit reticulocytes in vitro translation of mrna transcribed from the hri cdna yields a 90-kda polypeptide that exhibits eif-2 alpha kinase activity and is recognized by a monoclonal antibody directed against authentic hri the open reading frame sequence of the hri cdna contains all 11 catalytic domains of protein kinases with consensus sequences of protein-serinethreonine kinases in conserved catalytic domains vi and viii the hri cdna also contains an insert of approximately 140 amino acids between catalytic domains v and vi the hri cdna coding sequence has extensive homology to gcn2 protein kinase of saccharomyces cerevisiae and to human double-stranded-rna-dependent eif-2 alpha kinase this observation suggests that gcn2 protein kinase may be an eif-2 alpha kinase in yeast in addition hri has an unusually high degree of homology to three protein kinases nima wee1 and cdc2 that are involved in the regulation of the cell cycle
E,the neuronal ceroid lipofuscinoses ncls represent a group of common recessive inherited neurodegenerative disorders of childhood with an incidence of 112500 live births they are characterized by accumulation of autofluorescent lipopigments in various tissues several forms of ncls have been identified based on age at onset progression of disease neurophysiological and histopathological findings and separate genetic loci all types of ncl cause progressive visual and mental decline motor disturbance epilepsy and behavioral changes and lead to premature death one of the subtypes finnish variant late infantile neuronal ceroid lipofuscinosis vlincl mim256731 affects children at 4-7 years of age the first symptom is motor clumsiness followed by progressive visual failure mental and motor deterioration and later by myoclonia and seizures we have previously reported linkage for vlincl on chromosome 13 ref 5 and constructed a long-range physical map over the region here we report the positional cloning of a novel gene cln5 underlying this severe neurological disorder the gene encodes a putative transmembrane protein which shows no homology to previously reported proteins sequence analysis of dna samples from patients with three different haplotypes revealed three mutations one deletion one nonsense and one missense mutation suggesting that mutations in this gene are responsible for vlincl
E,the complete nucleotide nt sequence of the gene encoding cat serum albumin has been determined the nt and deduced amino-acid sequences were compared to those of other known mammalian serum albumins sa
E,chorea-acanthocytosis chac mim 200150 is an autosomal recessive neurodegenerative disorder characterized by the gradual onset of hyperkinetic movements and abnormal erythrocyte morphology acanthocytosis neurological findings closely resemble those observed in huntington disease we identified a gene in the chac critical region and found 16 different mutations in individuals with chorea-acanthocytosis chac encodes an evolutionarily conserved protein that is probably involved in protein sorting
E,the genes encoding chain 1 ch1 and chain 2 ch2 of the major allergen of the domestic cat felis domesticus i have been analyzed by genomic cloning and by polymerase chain reaction pcr ch1 has two potential leader sequences designated a and b analysis of a genomic clone encoding ch1 demonstrated that one structural gene contains sequences corresponding to both leaders which utilize different met start codons pcr analysis showed that genes encoding ch1 and ch2 are co-expressed in both the salivary glands and the skin and that leader sequence a of ch1 is utilized preferentially in both tissues ch2 was shown to have two dominant forms that are differentially expressed in the aforementioned tissues the long form ch2l composed of 92 amino acids aa is preferentially expressed in the salivary glands while the short form ch2s composed of 90 aa is preferentially expressed in the skin there is minor sequence polymorphism in both forms of ch2 a genomic clone for ch2 only contained sequences for ch2s suggesting that ch2l is encoded by an exon not contained within this genomic clone
E,the genome of the flowering plant arabidopsis thaliana has five chromosomes here we report the sequence of the largest chromosome 1 in two contigs of around 142 and 146 megabases the contigs extend from the telomeres to the centromeric borders regions rich in transposons retrotransposons and repetitive elements such as the 180-base-pair repeat the chromosome represents 25 of the genome and contains about 6850 open reading frames 236 transfer rnas trnas and 12 small nuclear rnas there are two clusters of trna genes at different places on the chromosome one consists of 27 trnapro genes and the other contains 27 tandem repeats of trnatyr-trnatyr-trnaser genes chromosome 1 contains about 300 gene families with clustered duplications there are also many repeat elements representing 8 of the sequence
